record_id,student_id,first_name,last_name,parent_id,class_id,gender,date_of_birth,date_enrolled,is_repeating,age,street_address,city,start_date,end_date,is_current
359,1359,Ifeanyi,Danladi,154,8,Female,2014-04-24,2024-02-12,True,10,84062 Mason Pine,Ughelli,2024-10-08,,Yes
289,1289,Ibrahim,Nnamdi,287,6,Male,2008-06-20,2024-02-11,True,16,986 Mercer Street,Sapele,2024-10-08,,Yes
223,1223,Bola,Bello,453,5,Female,2014-07-18,2024-02-09,True,10,7947 Cook Mission Apt. 516,Ughelli,2024-10-08,,Yes
378,1378,Ngozi,Nnamdi,554,8,Male,2009-08-07,2024-02-08,True,15,3915 Lane Knolls,Oghara,2024-10-08,,Yes
31,1031,Ngozi,Abdullahi,209,1,Male,2014-07-08,2024-02-15,True,10,52651 Amy Ports,Ughelli,2024-10-08,,Yes
82,1082,Ahmed,Bello,372,2,Female,2014-04-29,2024-02-11,True,10,7947 Cook Mission Apt. 516,Ozoro,2024-10-08,,Yes
38,1038,Ahmed,Nnamdi,390,1,Male,2010-11-03,2024-02-11,True,14,42656 Justin Heights Suite 611,Oleh,2024-10-08,,Yes
89,1089,Ahmed,Danladi,197,2,Male,2012-05-28,2024-02-07,True,12,4354 Amanda Parkway,Ughelli,2024-10-08,,Yes
72,1072,Ifeanyi,Eze,462,2,Male,2012-08-17,2024-02-16,True,12,5550 Smith Alley Suite 852,Koko,2024-10-08,,Yes
318,1318,Chinaza,Bello,158,7,Male,2014-06-30,2024-02-14,True,10,8708 Adkins Springs,Abraka,2024-10-08,,Yes
446,1446,Kemi,Adeyemi,569,9,Female,2009-05-16,2024-02-20,True,15,9610 Torres Way Apt. 377,Koko,2024-10-08,,Yes
391,1391,Ifeanyi,Abimbola,448,8,Male,2013-07-04,2024-02-07,True,11,141 Greer Village,Oghara,2024-10-08,,Yes
60,1060,Adebayo,Okeke,332,2,Female,2007-10-31,2024-02-15,True,17,110 Simpson Motorway Apt. 894,Agbor,2024-10-08,,Yes
568,1568,Kemi,Olawale,251,12,Male,2013-02-12,2024-02-16,True,11,06635 Helen Cliffs Suite 928,Abraka,2024-10-08,,Yes
277,1277,Ahmed,Bello,483,6,Female,2009-07-20,2024-02-13,True,15,7947 Cook Mission Apt. 516,Asaba,2024-10-08,,Yes
563,1563,Chinaza,Eze,524,12,Female,2009-12-22,2024-02-12,True,15,9483 Andrew Mission Suite 812,Ozoro,2024-10-08,,Yes
265,1265,Chinaza,Eze,172,6,Male,2011-09-18,2024-02-15,True,13,845 Casey Alley,Abraka,2024-10-08,,Yes
308,1308,Ifeanyi,Okeke,581,7,Male,2011-02-20,2024-02-16,True,13,5550 Smith Alley Suite 852,Burutu,2024-10-08,,Yes
143,1143,Ibrahim,Abimbola,277,3,Female,2011-12-25,2024-02-07,False,13,7947 Cook Mission Apt. 516,Koko,2024-10-08,,Yes
505,1505,Kemi,Abdullahi,389,11,Male,2007-12-31,2024-02-12,False,17,86689 Cole Orchard,Abraka,2024-10-08,,Yes
516,1516,Chinedu,Nnamdi,241,11,Female,2011-12-07,2024-02-12,False,13,7746 Martin Key,Ughelli,2024-10-08,,Yes
70,1070,Ngozi,Adeyemi,169,2,Female,2012-03-13,2024-02-19,False,12,841 Derek Manors Suite 743,Ughelli,2024-10-08,,Yes
